time_utc,Bx,By,Bz,Babs
2022-03-02T12:29:30.059812918Z,-1.361272,0.7781565,0.2355178,1.585578
2022-03-02T12:29:30.122313793Z,-1.368908,0.8003907,0.1931258,1.597445
2022-03-02T12:29:30.184814668Z,-1.352125,0.8189842,0.2269346,1.597021
2022-03-02T12:29:30.247315543Z,-1.341826,0.8098361,0.2653179,1.589567
2022-03-02T12:29:30.309816418Z,-1.352195,0.7948908,0.2816879,1.593622
2022-03-02T12:29:30.372317293Z,-1.366264,0.7682214,0.2460297,1.586623
2022-03-02T12:29:30.434818168Z,-1.36628,0.7749851,0.2114144,1.584935
2022-03-02T12:29:30.497319043Z,-1.383244,0.7653109,0.1968995,1.593058
2022-03-02T12:29:30.559819918Z,-1.402698,0.7710724,0.146184,1.607322
2022-03-02T12:29:30.622320793Z,-1.429997,0.7533185,0.1091082,1.619965
2022-03-02T12:29:30.684821668Z,-1.424803,0.7717088,0.1264488,1.625296
2022-03-02T12:29:30.747322543Z,-1.421678,0.7838865,0.1489743,1.630289
2022-03-02T12:29:30.809823418Z,-1.390124,0.7775157,0.214482,1.607165
2022-03-02T12:29:30.872324293Z,-1.382585,0.7591631,0.2390424,1.595309
2022-03-02T12:29:30.934825168Z,-1.383556,0.7328267,0.2037433,1.578852
2022-03-02T12:29:30.997326043Z,-1.376178,0.7343653,0.08838761,1.56236
2022-03-02T12:29:31.059826918Z,-1.381292,0.7609101,0.001630999,1.577008
2022-03-02T12:29:31.122327793Z,-1.367905,0.8273322,-0.03601413,1.599043
2022-03-02T12:29:31.184828668Z,-1.327165,0.8948103,-0.05283831,1.601513
2022-03-02T12:29:31.247329543Z,-1.31609,0.936278,0.009409832,1.615177
2022-03-02T12:29:31.309830418Z,-1.327909,0.9388496,0.08711306,1.62861
2022-03-02T12:29:31.372331293Z,-1.318561,0.9391935,0.09745692,1.621784
2022-03-02T12:29:31.434832168Z,-1.343684,0.8997961,0.165015,1.62553
2022-03-02T12:29:31.497333043Z,-1.358289,0.8412601,0.2161061,1.612257
2022-03-02T12:29:31.559833918Z,-1.384077,0.7810086,0.2204556,1.604445
2022-03-02T12:29:31.622334793Z,-1.372756,0.7060177,0.1738914,1.553435
2022-03-02T12:29:31.684835668Z,-1.367874,0.7446756,0.1148209,1.561667
2022-03-02T12:29:31.747336543Z,-1.356191,0.768906,0.02638695,1.55922
2022-03-02T12:29:31.809837418Z,-1.355914,0.7824453,-0.060435,1.566645
2022-03-02T12:29:31.872338293Z,-1.35894,0.7951595,-0.07871452,1.57645
2022-03-02T12:29:31.934839168Z,-1.371845,0.8237683,-0.09764118,1.603149
2022-03-02T12:29:31.997340043Z,-1.402519,0.822262,-0.1055282,1.629205
2022-03-02T12:29:32.059840918Z,-1.408264,0.8453127,-0.09658009,1.645323
2022-03-02T12:29:32.122341793Z,-1.405382,0.881766,-0.08506505,1.661278
2022-03-02T12:29:32.184842668Z,-1.428606,0.8676509,-0.1042717,1.674696
2022-03-02T12:29:32.247343543Z,-1.45112,0.8598905,-0.1305883,1.691808
2022-03-02T12:29:32.309844418Z,-1.447158,0.8624277,-0.1319805,1.689813
2022-03-02T12:29:32.372345293Z,-1.422675,0.8982388,-0.1374433,1.688114
2022-03-02T12:29:32.434846168Z,-1.435494,0.9046164,-0.1260319,1.701428
2022-03-02T12:29:32.497347043Z,-1.449122,0.8949181,-0.09137892,1.705633
2022-03-02T12:29:32.559847918Z,-1.453809,0.8794821,-0.05507325,1.700024
2022-03-02T12:29:32.622348793Z,-1.483137,0.8368459,-0.03870507,1.703381
2022-03-02T12:29:32.684849668Z,-1.505643,0.8231481,-0.06097556,1.717048
2022-03-02T12:29:32.747350543Z,-1.508082,0.7521409,-0.06274754,1.686406
2022-03-02T12:29:32.809851418Z,-1.499602,0.7275488,-0.1144455,1.670698
2022-03-02T12:29:32.872352293Z,-1.510528,0.719782,-0.1523211,1.680173
2022-03-02T12:29:32.934853168Z,-1.518598,0.7101451,-0.192318,1.687434
2022-03-02T12:29:32.997354043Z,-1.529223,0.7244316,-0.2373161,1.708697
2022-03-02T12:29:33.059854918Z,-1.527577,0.7219318,-0.2576227,1.709107
2022-03-02T12:29:33.122355793Z,-1.544936,0.7355782,-0.2731669,1.732779
2022-03-02T12:29:33.184856668Z,-1.582799,0.7226499,-0.2717004,1.76105
2022-03-02T12:29:33.247357543Z,-1.576197,0.7352864,-0.2761491,1.761052
2022-03-02T12:29:33.309858418Z,-1.597025,0.7189741,-0.2643148,1.771235
2022-03-02T12:29:33.372359293Z,-1.636721,0.6990633,-0.2406546,1.795956
2022-03-02T12:29:33.434860168Z,-1.635897,0.6678444,-0.2437505,1.783701
2022-03-02T12:29:33.497361043Z,-1.660379,0.6604659,-0.2619621,1.806017
2022-03-02T12:29:33.559861918Z,-1.66348,0.64066,-0.2749791,1.80367
2022-03-02T12:29:33.622362793Z,-1.665217,0.6200983,-0.2679443,1.797015
2022-03-02T12:29:33.684863668Z,-1.671425,0.6069593,-0.2868783,1.801211
2022-03-02T12:29:33.747364543Z,-1.676766,0.6151289,-0.2938027,1.810041
2022-03-02T12:29:33.809865418Z,-1.688677,0.5853662,-0.3134961,1.814542
2022-03-02T12:29:33.872366293Z,-1.687088,0.5910403,-0.308615,1.814066
2022-03-02T12:29:33.934867168Z,-1.682701,0.5992486,-0.3480635,1.819816
2022-03-02T12:29:33.997368043Z,-1.681761,0.58022,-0.3582092,1.814742
2022-03-02T12:29:34.059868918Z,-1.685695,0.5931219,-0.3611219,1.823121
2022-03-02T12:29:34.122369793Z,-1.685168,0.5669017,-0.3752674,1.817139
2022-03-02T12:29:34.184870668Z,-1.667259,0.567343,-0.3860519,1.802961
2022-03-02T12:29:34.247371543Z,-1.656335,0.5540954,-0.3965655,1.791014
2022-03-02T12:29:34.309872418Z,-1.656767,0.5498869,-0.3955683,1.789896
2022-03-02T12:29:34.372373293Z,-1.644951,0.5486452,-0.3950317,1.778461
2022-03-02T12:29:34.434874168Z,-1.679056,0.5310495,-0.3927471,1.804299
2022-03-02T12:29:34.497375043Z,-1.65974,0.5525689,-0.4075205,1.796147
2022-03-02T12:29:34.559875918Z,-1.669012,0.5312905,-0.4001591,1.796663
2022-03-02T12:29:34.622376793Z,-1.683816,0.5376744,-0.3985545,1.811954
2022-03-02T12:29:34.684877668Z,-1.6975,0.5230212,-0.4000537,1.820742
2022-03-02T12:29:34.747378543Z,-1.699406,0.4934916,-0.4110912,1.81673
2022-03-02T12:29:34.809879418Z,-1.70585,0.4726111,-0.4148986,1.818083
2022-03-02T12:29:34.872380293Z,-1.710644,0.4667298,-0.4086677,1.819656
2022-03-02T12:29:34.934881168Z,-1.702303,0.430448,-0.4050513,1.801996
2022-03-02T12:29:34.997382043Z,-1.72976,0.4206926,-0.391942,1.822819
2022-03-02T12:29:35.059882918Z,-1.705881,0.4138406,-0.4068966,1.801905
2022-03-02T12:29:35.122383793Z,-1.720946,0.4024752,-0.4415008,1.821693
2022-03-02T12:29:35.184884668Z,-1.736136,0.417318,-0.4679327,1.845883
2022-03-02T12:29:35.247385543Z,-1.738006,0.4171477,-0.4748224,1.849361
2022-03-02T12:29:35.309886418Z,-1.745462,0.4182688,-0.494553,1.861765
2022-03-02T12:29:35.372387293Z,-1.743997,0.4403133,-0.5366104,1.877059
2022-03-02T12:29:35.434888168Z,-1.749003,0.4027808,-0.5465797,1.876165
2022-03-02T12:29:35.497389043Z,-1.750744,0.3980761,-0.5534698,1.878802
2022-03-02T12:29:35.559889918Z,-1.750752,0.4089684,-0.5552945,1.881685
2022-03-02T12:29:35.622390793Z,-1.750887,0.3946867,-0.5562594,1.879045
2022-03-02T12:29:35.684891668Z,-1.754091,0.3823309,-0.5691565,1.883335
2022-03-02T12:29:35.747392543Z,-1.791845,0.3870341,-0.5524777,1.914611
2022-03-02T12:29:35.809893418Z,-1.7828,0.3980799,-0.5515834,1.908163
2022-03-02T12:29:35.872394293Z,-1.783918,0.4016377,-0.5593937,1.912224
2022-03-02T12:29:35.934895168Z,-1.769264,0.4018926,-0.5416816,1.893471
2022-03-02T12:29:35.997396043Z,-1.77823,0.3961391,-0.5613126,1.906332
2022-03-02T12:29:36.059896918Z,-1.776916,0.4069033,-0.5731478,1.91089
2022-03-02T12:29:36.122397793Z,-1.769925,0.3888558,-0.5703553,1.899776
2022-03-02T12:29:36.184898668Z,-1.759692,0.3865209,-0.5926796,1.896624
2022-03-02T12:29:36.247399543Z,-1.766496,0.3528993,-0.5915124,1.896031
2022-03-02T12:29:36.309900418Z,-1.763621,0.3307434,-0.6046895,1.893515
2022-03-02T12:29:36.372401293Z,-1.77274,0.3077826,-0.58726,1.892673
2022-03-02T12:29:36.434902168Z,-1.793125,0.2926582,-0.5622852,1.90187
2022-03-02T12:29:36.497403043Z,-1.810023,0.2864545,-0.5403656,1.910558
2022-03-02T12:29:36.559903918Z,-1.809643,0.2533559,-0.5284315,1.902166
2022-03-02T12:29:36.622404793Z,-1.824515,0.2398414,-0.5227438,1.913019
2022-03-02T12:29:36.684905668Z,-1.828976,0.2192372,-0.5155216,1.912846
2022-03-02T12:29:36.747406543Z,-1.840913,0.2168446,-0.5188654,1.924891
2022-03-02T12:29:36.809907418Z,-1.857246,0.1992037,-0.4920421,1.931619
2022-03-02T12:29:36.872408293Z,-1.8648,0.186097,-0.4825962,1.935203
2022-03-02T12:29:36.934909168Z,-1.871102,0.1754595,-0.5013149,1.945026
2022-03-02T12:29:36.997410043Z,-1.867211,0.1783708,-0.5092086,1.943601
2022-03-02T12:29:37.059910918Z,-1.866011,0.1481889,-0.5083462,1.939684
2022-03-02T12:29:37.122411793Z,-1.873612,0.1563682,-0.5187256,1.950372
2022-03-02T12:29:37.184912668Z,-1.865405,0.1409154,-0.5270047,1.943535
2022-03-02T12:29:37.247413543Z,-1.847318,0.1465,-0.5514928,1.93344
2022-03-02T12:29:37.309914418Z,-1.83343,0.1688021,-0.5504539,1.921707
2022-03-02T12:29:37.372415293Z,-1.818233,0.188308,-0.5444652,1.907321
2022-03-02T12:29:37.434916168Z,-1.820648,0.2032748,-0.5317847,1.907584
2022-03-02T12:29:37.497417043Z,-1.809664,0.2310558,-0.540569,1.902757
2022-03-02T12:29:37.559917918Z,-1.807526,0.2420138,-0.562285,1.908373
2022-03-02T12:29:37.622418793Z,-1.794124,0.2468157,-0.5734792,1.899652
2022-03-02T12:29:37.684919668Z,-1.801916,0.2683609,-0.5624456,1.906636
2022-03-02T12:29:37.747420543Z,-1.796205,0.2632032,-0.5473135,1.896096
2022-03-02T12:29:37.809921418Z,-1.805447,0.2533453,-0.5245923,1.897109
2022-03-02T12:29:37.872422293Z,-1.828115,0.2610728,-0.5201475,1.918519
2022-03-02T12:29:37.934923168Z,-1.841212,0.260689,-0.5192245,1.930703
2022-03-02T12:29:37.997424043Z,-1.846772,0.2433195,-0.5349554,1.938027
2022-03-02T12:29:38.059924918Z,-1.851852,0.2330746,-0.5395343,1.942878
2022-03-02T12:29:38.122425793Z,-1.840273,0.1845323,-0.5454159,1.928246
